Student Name,Gender,Class,Roll Number,Age,Father Name,Mother Name,Contact Number,Admission Number,Aadhaar Number,APPAR Number,Blood Group
Krishna Sharma,Boy,LKG,2,5,Mr. Arjun Sharma,Mrs. Saanvi Sharma,7788854376,10052,720748131913,348864633086,B-
Tara Nair,Girl,LKG,3,4,Mr. Dev Nair,Mrs. Ananya Nair,7918193023,10053,179971731848,623611335190,A+
Pooja Jain,Girl,LKG,4,5,Mr. Dev Jain,Mrs. Anjali Jain,9152070855,10054,210334522469,671502863903,A-
Aadhya Tiwari,Girl,LKG,5,5,Mr. Arjun Tiwari,Mrs. Tara Tiwari,6355833374,10055,662113764099,495167312106,A+
Dev Sharma,Boy,LKG,6,4,Mr. Amit Sharma,Mrs. Zara Sharma,8703165248,10056,427185741953,923280661719,AB-
Aditi Mukherjee,Girl,LKG,7,4,Mr. Vikram Mukherjee,Mrs. Pooja Mukherjee,7989778892,10057,943057549537,899821022029,B+
Myra Ghosh,Girl,LKG,8,4,Mr. Kunal Ghosh,Mrs. Kavya Ghosh,7550242272,10058,999789007491,780537919494,AB-
Shruti Tiwari,Girl,LKG,9,4,Mr. Dhruv Tiwari,Mrs. Diya Tiwari,8835724554,10059,404006250067,141870508994,A-
Rishi Iyer,Boy,LKG,10,5,Mr. Yash Iyer,Mrs. Aditi Iyer,6367031677,10060,315552612295,659261564187,O-
Aditya Dubey,Boy,LKG,11,4,Mr. Rishi Dubey,Mrs. Meera Dubey,7923176601,10061,710677684817,178111791256,AB-
Rishi Chauhan,Boy,LKG,12,4,Mr. Rishi Chauhan,Mrs. Meera Chauhan,8303367253,10062,330381215848,303657384500,AB+
Surya Mehta,Boy,LKG,13,4,Mr. Rohan Mehta,Mrs. Kiara Mehta,6594388725,10063,853515400494,723476937576,A+
Rishi Sharma,Boy,LKG,14,5,Mr. Amit Sharma,Mrs. Pooja Sharma,9339876665,10064,875963804721,358594915118,O-
Amit Pillai,Boy,LKG,15,5,Mr. Karan Pillai,Mrs. Kiara Pillai,9644226544,10065,293859231624,618154289481,O-
Sai Dubey,Boy,LKG,16,4,Mr. Kunal Dubey,Mrs. Kavya Dubey,6501518726,10066,850276197153,485408073737,O-
Ananya Tiwari,Girl,LKG,17,5,Mr. Aarav Tiwari,Mrs. Diya Tiwari,8966813953,10067,607071712211,217746653917,AB-
Swati Rao,Girl,LKG,18,5,Mr. Kunal Rao,Mrs. Riya Rao,7703609735,10068,979968922908,898120856959,O+
Vihaan Patel,Boy,LKG,19,4,Mr. Karan Patel,Mrs. Aditi Patel,6524231590,10069,362224182089,313003217203,A-
Myra Bose,Girl,LKG,20,5,Mr. Aditya Bose,Mrs. Shruti Bose,7755062038,10070,809787357599,241378860141,A+
Aditya Chauhan,Boy,LKG,21,4,Mr. Rajesh Chauhan,Mrs. Myra Chauhan,6436422626,10071,940588004245,917900450220,O-
Karan Singh,Boy,LKG,22,4,Mr. Rajesh Singh,Mrs. Ananya Singh,6460916891,10072,974006785842,110134105391,O+
Neha Mehta,Girl,LKG,23,5,Mr. Kunal Mehta,Mrs. Ananya Mehta,6314072444,10073,116596957151,460017937398,AB+
Diya Yadav,Girl,LKG,24,4,Mr. Arjun Yadav,Mrs. Ananya Yadav,6806193298,10074,663614470235,184958488610,O+
Kavya Mehta,Girl,LKG,25,5,Mr. Sai Mehta,Mrs. Shruti Mehta,8511435613,10075,234628615422,302594579858,AB-
Sanjay Mehta,Boy,LKG,26,4,Mr. Kabir Mehta,Mrs. Meera Mehta,9267547988,10076,185533644266,373910459893,O+
Sai Tiwari,Boy,LKG,27,5,Mr. Dhruv Tiwari,Mrs. Nisha Tiwari,6577066292,10077,267037378124,607575137402,O+
Zara Dubey,Girl,LKG,28,5,Mr. Dev Dubey,Mrs. Kiara Dubey,6437902068,10078,512744964624,892761757871,O-
Kunal Reddy,Boy,LKG,29,4,Mr. Surya Reddy,Mrs. Aditi Reddy,6331026943,10079,317348321844,457571524800,B-
Ananya Mishra,Girl,LKG,30,5,Mr. Yash Mishra,Mrs. Shruti Mishra,8545335789,10080,425088633131,640510814798,A-
Rajesh Tiwari,Boy,LKG,31,4,Mr. Yash Tiwari,Mrs. Saanvi Tiwari,8192657701,10081,506510875867,663138511429,B-
Swati Verma,Girl,LKG,32,5,Mr. Dev Verma,Mrs. Shruti Verma,9787525451,10082,207126380693,456596518683,B+
Meera Rao,Girl,LKG,33,5,Mr. Kabir Rao,Mrs. Aadhya Rao,8236724511,10083,726386690358,273079555617,AB+
Anya Kumar,Girl,LKG,34,5,Mr. Surya Kumar,Mrs. Neha Kumar,8585919346,10084,421317697593,510631432444,O-
Aditi Nair,Girl,LKG,35,5,Mr. Vihaan Nair,Mrs. Pooja Nair,8767539202,10085,738904843241,620423065151,O-
Karan Nair,Boy,LKG,36,5,Mr. Aditya Nair,Mrs. Aadhya Nair,6404468144,10086,340346502485,990058715259,B+
Diya Das,Girl,LKG,37,5,Mr. Kunal Das,Mrs. Neha Das,7511741017,10087,835187122537,547594489774,O+
Rishi Mishra,Boy,LKG,38,5,Mr. Amit Mishra,Mrs. Zara Mishra,8107568496,10088,552636694159,299769865025,B+
Diya Mehta,Girl,LKG,39,4,Mr. Dev Mehta,Mrs. Neha Mehta,7230948143,10089,871376252287,883964587764,O-
Anya Das,Girl,LKG,40,5,Mr. Aditya Das,Mrs. Kiara Das,6777837779,10090,455998502043,115563718927,O-
Krishna Chauhan,Boy,LKG,41,5,Mr. Surya Chauhan,Mrs. Neha Chauhan,8143581117,10091,549900398724,961461737529,A-
Priya Rao,Girl,LKG,42,4,Mr. Rajesh Rao,Mrs. Kavya Rao,7490186341,10092,795698439205,555978587916,O+
Kavya Pandey,Girl,LKG,43,4,Mr. Vihaan Pandey,Mrs. Shruti Pandey,6273575708,10093,652684421502,803668029561,O+
Dev Dubey,Boy,LKG,44,4,Mr. Rahul Dubey,Mrs. Aadhya Dubey,9773759201,10094,870963178130,547830831448,O-
Rishi Singh,Boy,LKG,45,5,Mr. Aarav Singh,Mrs. Pooja Singh,8543127367,10095,574715102858,485285253405,B+
Anya Verma,Girl,LKG,46,5,Mr. Karan Verma,Mrs. Aadhya Verma,6471471247,10096,888077728984,319170690251,B+
Neha Patel,Girl,LKG,47,4,Mr. Vihaan Patel,Mrs. Pooja Patel,6443406721,10097,485881702652,569101582316,A+
Nisha Iyer,Girl,LKG,48,4,Mr. Aarav Iyer,Mrs. Tara Iyer,6436478242,10098,290421916928,479629450979,O+
Kabir Nair,Boy,LKG,49,5,Mr. Sanjay Nair,Mrs. Riya Nair,6970757472,10099,690632287492,439847971719,AB-
Tara Ghosh,Girl,LKG,50,5,Mr. Dhruv Ghosh,Mrs. Pooja Ghosh,6154161955,10100,218161259406,493743029611,B+
Rajesh Gupta,Boy,UKG,1,5,Mr. Sai Gupta,Mrs. Aadhya Gupta,8848889914,10101,337350477431,196990418392,O+
Dev Mehta,Boy,UKG,2,5,Mr. Kabir Mehta,Mrs. Aditi Mehta,9943698864,10102,152522857342,553667348084,A+
Kavya Rao,Girl,UKG,3,5,Mr. Surya Rao,Mrs. Diya Rao,9319378183,10103,994357229773,376119492500,O+
Myra Mishra,Girl,UKG,4,6,Mr. Kunal Mishra,Mrs. Meera Mishra,8248318152,10104,777914290219,951013343831,A+
Diya Tiwari,Girl,UKG,5,5,Mr. Rahul Tiwari,Mrs. Pooja Tiwari,6883478044,10105,779906261488,501563716722,A+
Priya Gupta,Girl,UKG,6,6,Mr. Krishna Gupta,Mrs. Swati Gupta,8295779943,10106,119647320567,993535045997,A+
Aadhya Verma,Girl,UKG,7,5,Mr. Kunal Verma,Mrs. Zara Verma,9728427072,10107,432775648520,633912949330,AB-
Rishi Sharma,Boy,UKG,8,6,Mr. Krishna Sharma,Mrs. Swati Sharma,8180507928,10108,698402127908,733260013248,B-
Surya Rao,Boy,UKG,9,6,Mr. Karan Rao,Mrs. Tara Rao,7837975218,10109,210957504515,402941144416,B+
Riya Pandey,Girl,UKG,10,6,Mr. Rohan Pandey,Mrs. Tara Pandey,9617070430,10110,125957639989,326668411026,A+
Swati Rajput,Girl,UKG,11,6,Mr. Sanjay Rajput,Mrs. Swati Rajput,6615363125,10111,691592859339,757216815491,O+
Aditya Sharma,Boy,UKG,12,6,Mr. Sanjay Sharma,Mrs. Aadhya Sharma,9867890572,10112,398655818926,875329659803,AB-
Arjun Mukherjee,Boy,UKG,13,6,Mr. Dhruv Mukherjee,Mrs. Shruti Mukherjee,8696536270,10113,614214492601,494570259588,AB+
Surya Iyer,Boy,UKG,14,5,Mr. Rishi Iyer,Mrs. Tara Iyer,6867093632,10114,440318376664,963032356880,AB+
Vikram Pandey,Boy,UKG,15,5,Mr. Yash Pandey,Mrs. Saanvi Pandey,9213895476,10115,112297915684,827234677619,A-
Kunal Patel,Boy,UKG,16,6,Mr. Rohan Patel,Mrs. Tara Patel,8621440125,10116,942775033020,186539322272,B+
Shruti Ghosh,Girl,UKG,17,5,Mr. Kabir Ghosh,Mrs. Saanvi Ghosh,7317234740,10117,421073887476,292637187804,AB-
Yash Chauhan,Boy,UKG,18,5,Mr. Kunal Chauhan,Mrs. Swati Chauhan,9197642065,10118,667670130262,170658131590,O+
Ananya Kumar,Girl,UKG,19,5,Mr. Dev Kumar,Mrs. Aditi Kumar,6768744546,10119,335294791048,722233283347,AB+
Nisha Verma,Girl,UKG,20,6,Mr. Kabir Verma,Mrs. Nisha Verma,9237590444,10120,851107229808,130328797296,B-
Shruti Patel,Girl,UKG,21,5,Mr. Sai Patel,Mrs. Kiara Patel,8810588636,10121,761176281183,960930974539,A-
Dhruv Mukherjee,Boy,UKG,22,6,Mr. Aditya Mukherjee,Mrs. Pooja Mukherjee,8254481803,10122,300315790491,846456078379,A-
Diya Kumar,Girl,UKG,23,5,Mr. Surya Kumar,Mrs. Ananya Kumar,7688012384,10123,438016242849,605467347579,A+
Yash Verma,Boy,UKG,24,5,Mr. Sai Verma,Mrs. Myra Verma,6290880951,10124,153568634996,907391853408,AB+
Vihaan Mehta,Boy,UKG,25,6,Mr. Yash Mehta,Mrs. Anjali Mehta,7224173197,10125,832047061066,722437480142,B+
Anjali Mukherjee,Girl,UKG,26,5,Mr. Rajesh Mukherjee,Mrs. Anjali Mukherjee,9257197535,10126,649181904934,155089802475,O-
Meera Patel,Girl,UKG,27,6,Mr. Yash Patel,Mrs. Tara Patel,9604252523,10127,889828033054,905189057557,AB+
Kiara Chauhan,Girl,UKG,28,5,Mr. Rohan Chauhan,Mrs. Aadhya Chauhan,8799113028,10128,155954789757,289998540916,AB-
Kavya Tiwari,Girl,UKG,29,6,Mr. Dev Tiwari,Mrs. Kiara Tiwari,9234751714,10129,119906397068,348079167979,B+
Anya Mehta,Girl,UKG,30,6,Mr. Rishi Mehta,Mrs. Swati Mehta,9321834142,10130,891454199197,559011352661,O+
Rishi Pandey,Boy,UKG,31,5,Mr. Dhruv Pandey,Mrs. Anya Pandey,8208382487,10131,766411005830,685972687641,A+
Shruti Singh,Girl,UKG,32,6,Mr. Rahul Singh,Mrs. Nisha Singh,8971157523,10132,379244879918,985426312588,AB+
Surya Chauhan,Boy,UKG,33,6,Mr. Aditya Chauhan,Mrs. Aadhya Chauhan,9270877972,10133,239634795009,944721849850,O+
Pooja Patel,Girl,UKG,34,6,Mr. Sanjay Patel,Mrs. Aadhya Patel,7864109532,10134,501881951519,171002256519,A+
Ananya Dubey,Girl,UKG,35,5,Mr. Sai Dubey,Mrs. Swati Dubey,8264346872,10135,235522848748,497354964711,AB+
Anjali Mehta,Girl,UKG,36,6,Mr. Yash Mehta,Mrs. Swati Mehta,8526780114,10136,748103376810,415563902168,O+
Tara Mukherjee,Girl,UKG,37,5,Mr. Dev Mukherjee,Mrs. Kiara Mukherjee,7421902452,10137,119657420556,678671893109,A+
Tara Verma,Girl,UKG,38,5,Mr. Karan Verma,Mrs. Swati Verma,6662842275,10138,645863945631,937290282286,B-
Rohan Mukherjee,Boy,UKG,39,5,Mr. Rajesh Mukherjee,Mrs. Anya Mukherjee,8268374532,10139,867368058856,476018131503,O-
Sanjay Chauhan,Boy,UKG,40,5,Mr. Surya Chauhan,Mrs. Kiara Chauhan,8502819366,10140,361742014289,522340239169,A-
Surya Das,Boy,UKG,41,5,Mr. Dev Das,Mrs. Myra Das,9960841441,10141,219813867971,824095775203,A-
Myra Mukherjee,Girl,UKG,42,5,Mr. Krishna Mukherjee,Mrs. Priya Mukherjee,8360907709,10142,983570992766,332727000163,B+
Amit Sharma,Boy,UKG,43,6,Mr. Kunal Sharma,Mrs. Shruti Sharma,9323431456,10143,921761202474,253323696104,B-
Karan Pandey,Boy,UKG,44,5,Mr. Kunal Pandey,Mrs. Kavya Pandey,8466608945,10144,264454503903,630905096951,AB+
Riya Reddy,Girl,UKG,45,5,Mr. Rohan Reddy,Mrs. Meera Reddy,6491625856,10145,825455970035,410716831813,AB-
Arjun Yadav,Boy,UKG,46,5,Mr. Yash Yadav,Mrs. Diya Yadav,6698533621,10146,114042273901,606824677856,AB+
Rishi Bose,Boy,UKG,47,6,Mr. Amit Bose,Mrs. Kavya Bose,7807440934,10147,747531561677,246630238514,B+
Neha Gupta,Girl,UKG,48,5,Mr. Vihaan Gupta,Mrs. Pooja Gupta,9572850025,10148,843331937993,389674900242,A-
Kiara Mukherjee,Girl,UKG,49,6,Mr. Kunal Mukherjee,Mrs. Aditi Mukherjee,6350000455,10149,356454810523,964980305596,AB-
Ananya Nair,Girl,UKG,50,6,Mr. Dhruv Nair,Mrs. Aadhya Nair,6631066504,10150,358716233519,195116418216,AB+
Kabir Rajput,Boy,Class 1,1,6,Mr. Arjun Rajput,Mrs. Nisha Rajput,8756523325,10151,851309624952,176450524913,AB+
Nisha Jain,Girl,Class 1,2,8,Mr. Dhruv Jain,Mrs. Priya Jain,8458521592,10152,405609483520,978633462586,AB-
Kunal Rajput,Boy,Class 1,3,6,Mr. Karan Rajput,Mrs. Anjali Rajput,8126667127,10153,926997209294,460575592355,A-
Amit Jain,Boy,Class 1,4,8,Mr. Sanjay Jain,Mrs. Meera Jain,6426084699,10154,837423750905,783067960781,AB-
Zara Pandey,Girl,Class 1,5,6,Mr. Aarav Pandey,Mrs. Priya Pandey,9193555566,10155,506322442210,103357366010,AB+
Rahul Iyer,Boy,Class 1,6,6,Mr. Vikram Iyer,Mrs. Neha Iyer,9164684754,10156,642478007826,473440990673,A-
Anya Jain,Girl,Class 1,7,8,Mr. Aditya Jain,Mrs. Meera Jain,7629183707,10157,428448432349,351163437479,AB-
Saanvi Singh,Girl,Class 1,8,7,Mr. Sanjay Singh,Mrs. Kiara Singh,7408897967,10158,786557272355,734160288236,B-
Dhruv Mishra,Boy,Class 1,9,6,Mr. Yash Mishra,Mrs. Kiara Mishra,8768507157,10159,767825751927,405517364077,O-
Meera Kumar,Girl,Class 1,10,8,Mr. Vihaan Kumar,Mrs. Saanvi Kumar,7218566626,10160,996012621936,290138847268,AB+
Amit Patel,Boy,Class 1,11,10,Mr. Arjun Patel,Mrs. Kavya Patel,8999492420,10161,785295772804,354212978398,AB-
Dev Chauhan,Boy,Class 1,12,6,Mr. Aarav Chauhan,Mrs. Zara Chauhan,6283309881,10162,966199472801,329663947433,O+
Arjun Ghosh,Boy,Class 1,13,6,Mr. Yash Ghosh,Mrs. Priya Ghosh,7172420844,10163,335032034523,627966626193,A+
Arjun Rao,Boy,Class 1,14,8,Mr. Dhruv Rao,Mrs. Swati Rao,7890222117,10164,125895365427,805495767056,B+
Kiara Dubey,Girl,Class 1,15,10,Mr. Karan Dubey,Mrs. Nisha Dubey,9687877543,10165,635957596196,392317916763,B+
Shruti Pandey,Girl,Class 1,16,9,Mr. Surya Pandey,Mrs. Anya Pandey,9440804863,10166,181773990778,387172806075,A+
Myra Pillai,Girl,Class 1,17,9,Mr. Yash Pillai,Mrs. Kiara Pillai,6622971885,10167,352929348483,398984601116,AB+
Kiara Iyer,Girl,Class 1,18,6,Mr. Aarav Iyer,Mrs. Anjali Iyer,6505090093,10168,541330668381,135041487189,B+
Amit Verma,Boy,Class 1,19,10,Mr. Rishi Verma,Mrs. Kavya Verma,9963348125,10169,141652513645,201047975050,B+
Anya Nair,Girl,Class 1,20,7,Mr. Sai Nair,Mrs. Riya Nair,6200539417,10170,656366559455,324947141942,AB-
Arjun Nair,Boy,Class 1,21,7,Mr. Kunal Nair,Mrs. Diya Nair,9993412232,10171,576870058134,950608479859,B-
Zara Singh,Girl,Class 1,22,7,Mr. Aditya Singh,Mrs. Kavya Singh,6587326395,10172,769873466486,200464660077,A-
Vihaan Jain,Boy,Class 1,23,9,Mr. Aditya Jain,Mrs. Kiara Jain,8541671216,10173,449280782532,624848113704,O+
Rishi Pillai,Boy,Class 1,24,10,Mr. Rajesh Pillai,Mrs. Riya Pillai,8438490137,10174,151577976023,975666659758,AB+
Shruti Verma,Girl,Class 1,25,6,Mr. Karan Verma,Mrs. Swati Verma,6562027510,10175,148400435480,212041729036,AB-
Amit Patel,Boy,Class 1,26,7,Mr. Amit Patel,Mrs. Nisha Patel,6510042757,10176,714622214747,783447825672,B-
Karan Tiwari,Boy,Class 1,27,9,Mr. Kunal Tiwari,Mrs. Pooja Tiwari,7984403412,10177,910308228123,177058057133,O+
Riya Ghosh,Girl,Class 1,28,9,Mr. Kunal Ghosh,Mrs. Pooja Ghosh,9723740395,10178,861094657019,996964556964,O+
Anjali Nair,Girl,Class 1,29,8,Mr. Dev Nair,Mrs. Kavya Nair,8360167369,10179,966667857625,936974532925,A-
Surya Yadav,Boy,Class 1,30,10,Mr. Yash Yadav,Mrs. Swati Yadav,9218894123,10180,306080854950,256749376344,AB+
Shruti Reddy,Girl,Class 1,31,7,Mr. Krishna Reddy,Mrs. Riya Reddy,6317887537,10181,181174563672,536298226407,B+
Yash Pandey,Boy,Class 1,32,8,Mr. Rahul Pandey,Mrs. Ananya Pandey,6946099270,10182,347752003459,467897019471,B+
Kunal Ghosh,Boy,Class 1,33,6,Mr. Rohan Ghosh,Mrs. Myra Ghosh,7918163164,10183,679307734861,465860703010,AB+
Vihaan Chauhan,Boy,Class 1,34,9,Mr. Kunal Chauhan,Mrs. Pooja Chauhan,9898850306,10184,282518184960,201611943263,AB+
Sai Sharma,Boy,Class 1,35,7,Mr. Yash Sharma,Mrs. Neha Sharma,9315109305,10185,746904228932,703556052535,B+
Aadhya Reddy,Girl,Class 1,36,9,Mr. Dev Reddy,Mrs. Anya Reddy,7658312064,10186,891926005476,418062010953,A+
Ananya Jain,Girl,Class 1,37,6,Mr. Sanjay Jain,Mrs. Aditi Jain,6234152145,10187,832663242251,752335810369,AB-
Priya Mukherjee,Girl,Class 1,38,8,Mr. Dhruv Mukherjee,Mrs. Nisha Mukherjee,7331523194,10188,241211653763,394068648458,AB-
Tara Singh,Girl,Class 1,39,10,Mr. Yash Singh,Mrs. Priya Singh,7921413537,10189,689126751763,990552023240,B+
Diya Verma,Girl,Class 1,40,6,Mr. Sai Verma,Mrs. Priya Verma,7201735863,10190,724960333944,131962009699,O-
Kavya Gupta,Girl,Class 1,41,9,Mr. Rahul Gupta,Mrs. Nisha Gupta,7484363820,10191,398219103650,813978154868,O-
Vihaan Mishra,Boy,Class 1,42,7,Mr. Surya Mishra,Mrs. Neha Mishra,7394643150,10192,645869577425,492803881435,AB+
Kunal Pillai,Boy,Class 1,43,6,Mr. Aarav Pillai,Mrs. Anya Pillai,9941352516,10193,695463954898,819897978735,B-
Kavya Pillai,Girl,Class 1,44,7,Mr. Krishna Pillai,Mrs. Myra Pillai,8244914914,10194,730429440024,139073046434,O+
Meera Verma,Girl,Class 1,45,10,Mr. Sai Verma,Mrs. Diya Verma,8817551339,10195,507415818011,593256271875,A-
Meera Patel,Girl,Class 1,46,6,Mr. Yash Patel,Mrs. Pooja Patel,6797972310,10196,659581676748,326079045298,B-
Riya Verma,Girl,Class 1,47,8,Mr. Kabir Verma,Mrs. Aditi Verma,7510137651,10197,925616238600,293666600680,A+
Nisha Verma,Girl,Class 1,48,6,Mr. Kabir Verma,Mrs. Kiara Verma,8538489052,10198,472061075457,461820601950,AB-
Vikram Bose,Boy,Class 1,49,6,Mr. Dev Bose,Mrs. Ananya Bose,8230301647,10199,662728281462,905728557443,O+
Zara Yadav,Girl,Class 1,50,9,Mr. Dev Yadav,Mrs. Swati Yadav,9593931730,10200,848633022735,738812922081,AB+
Zara Das,Girl,Class 2,1,7,Mr. Krishna Das,Mrs. Ananya Das,7800084267,10201,579118057196,644106910105,A-
Surya Mehta,Boy,Class 2,2,8,Mr. Rajesh Mehta,Mrs. Riya Mehta,8294171353,10202,505980867568,721158840694,AB+
Shruti Reddy,Girl,Class 2,3,8,Mr. Rohan Reddy,Mrs. Kiara Reddy,8439477582,10203,905678509872,236324141828,AB+
